No,ID,Question,Correct Answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Image,Categories,Direction for scoring,Recieve feedback,Final Question,QuizBlock
1,IM1,I enjoy working with the Labster virtual laboratory case very much,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,,no,I enjoy working with the Labster virtual laboratory case very much,QuizblockSection2
2,PC1,I think that I was pretty good at the virtual laboratory,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,,no,I think that I was pretty good at the virtual laboratory,QuizblockSection2
3,EI1,I put a lot of effort into the virtual laboratory activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,,no,I put a lot of effort into the virtual laboratory activity,QuizblockSection2
4,SA1,I am nervousness about learning in a virtual laboratory simulation,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,SIMULATION ANXIETY,,no,I am nervousness about learning in a virtual laboratory simulation,QuizblockSection2
5,VU1,I believe that the virtual laboratory activity could be of some value to me,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,VALUE USEFULNESS,,no,I believe that the virtual laboratory activity could be of some value to me,QuizblockSection2
6,IM2,Virtual laboratory activities are fun to do,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,,no,Virtual laboratory activities are fun to do,QuizblockSection2
7,PC2,I think that I was pretty good at the virtual laboratory compared to other students,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,,no,I think that I was pretty good at the virtual laboratory compared to other students,QuizblockSection2
8,SA2,I am worried about participating in virtual laboratory simulations,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,SIMULATION ANXIETY,,no,I am worried about participating in virtual laboratory simulations,QuizblockSection2
9,EI2,I did not try very hard to do well on the virtual laboratory activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,,no,I did not try very hard to do well on the virtual laboratory activity,QuizblockSection2
10,VU2,I think that doing the virtual laboratory activity will be useful for my career,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,VALUE USEFULNESS,,no,I think that doing the virtual laboratory activity will be useful for my career,QuizblockSection2
11,IM3,The virtual laboratory was boring,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,negative,no,The virtual laboratory was boring,QuizblockSection2
12,PC3,"After working at the virtual laboratory for a while, I felt pretty competent",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,,no,"After working at the virtual laboratory for a while, I felt pretty competent",QuizblockSection2
13,EI3,I tried very hard on the virtual laboratory activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,,no,I tried very hard on the virtual laboratory activity,QuizblockSection2
14,SA3,I am uneasy about doing a virtual laboratory simulation,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,SIMULATION ANXIETY,,no,I am uneasy about doing a virtual laboratory simulation,QuizblockSection2
15,VU3,I would be willing to do the virtual laboratory again because it has some value to me,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,VALUE USEFULNESS,,no,I would be willing to do the virtual laboratory again because it has some value to me,QuizblockSection2
16,IM4,The virtual laboratory did not hold my attention at all,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,negative,no,The virtual laboratory did not hold my attention at all,QuizblockSection2
17,PC4,I am satisfied with my performance at the virtual laboratory,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,,no,I am satisfied with my performance at the virtual laboratory,QuizblockSection2
18,EI4,I didn't put much effort into the virtual laboratory activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,negative,no,I didn't put much effort into the virtual laboratory activity,QuizblockSection2
19,SA4,I am uneasy about using virtual learning simulations,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,SIMULATION ANXIETY,,no,I am uneasy about using virtual learning simulations,QuizblockSection2
20,VU3,I believe doing the virtual laboratory could be beneficial to me,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,VALUE USEFULNESS,,no,I believe doing the virtual laboratory could be beneficial to me,QuizblockSection2
21,IM5,I would describe virtual laboratories as very interesting,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,,no,I would describe virtual laboratories as very interesting,QuizblockSection2
22,PC5,I was pretty skilled at the virtual laboratory,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,,no,I was pretty skilled at the virtual laboratory,QuizblockSection2
23,EI5,I think the virtual laboratory is an important activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,,no,I think the virtual laboratory is an important activity,QuizblockSection2
24,IM6,I thought that the virtual laboratory was quite enjoyable,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,,no,I thought that the virtual laboratory was quite enjoyable,QuizblockSection2
25,PC6,The virtual laboratory was an activity that I couldn't do very well,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,PERCIEVED COMPETENCE,negative,no,The virtual laboratory was an activity that I couldn't do very well,QuizblockSection2
26,EI6,I think doing the virtual laboratory could help me be a better doctor,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,EFFORT IMPORTANCE,,no,I think doing the virtual laboratory could help me be a better doctor,QuizblockSection2
27,IM7,While I was doing the virtual laboratory I was thinking about how much I enjoyed it,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,INTRINSIC MOTIVATION,,no,While I was doing the virtual laboratory I was thinking about how much I enjoyed it,QuizblockSection2
28,SA5,I am nervous about doing laboratory work that takes place in a simulation,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,SIMULATION ANXIETY,,no,I am nervous about doing laboratory work that takes place in a simulation,QuizblockSection2
1,IGO1,"In a course like this, I prefer material that really challenges me so I can learn new things",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic goal orientation,,yes,"In a course like this, I prefer material that really challenges me so I can learn new things",QuizblockSection3
2,EC1,"If I study in appropriate ways, then I will be able to learn the material in this course",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Expectancy control,,yes,"If I study in appropriate ways, then I will be able to learn the material in this course",QuizblockSection3
3,CTh1,I often find myself questioning things I hear or read in this course to decide if I find them convincing,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Critical thinking,,yes,I often find myself questioning things I hear or read in this course to decide if I find them convincing,QuizblockSection3
4,TV1,I think I will be able to use what I learn in this course in other courses,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,I think I will be able to use what I learn in this course in other courses,QuizblockSection3
5,SE1,I believe I will receive an excellent grade in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I believe I will receive an excellent grade in this course,QuizblockSection3
6,Se2,I'm certain I can understand the most difficult material presented in the readings for this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I'm certain I can understand the most difficult material presented in the readings for this course,QuizblockSection3
7,EGO1,Getting a good grade in this course is the most satisfying thing for me right now,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Extrinsic goal orientation,,yes,Getting a good grade in this course is the most satisfying thing for me right now,QuizblockSection3
8,CTh2,"When a theory, interpretation, or conclusion is presented in class, I try to decide if there is good supporting evidence",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Critical thinking,,yes,"When a theory, interpretation, or conclusion is presented in class, I try to decide if there is good supporting evidence",QuizblockSection3
9,EC2,It is my own fault if I don't learn the material in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Expectancy control,,yes,It is my own fault if I don't learn the material in this course,QuizblockSection3
10,TV2,It is important for me to learn the material in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,It is important for me to learn the material in this course,QuizblockSection3
11,EGO2,"The most important thing for me right now is improving my overall grade point average, so my main concern in this course is getting a good grade",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Extrinsic goal orientation,,yes,"The most important thing for me right now is improving my overall grade point average, so my main concern in this course is getting a good grade",QuizblockSection3
12,SE3,I'm confident I can learn the basic concepts taught in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I'm confident I can learn the basic concepts taught in this course,QuizblockSection3
13,Ex3a,"If I can, I want to get better grades in this course than most of the other students",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Extrinsic goal orientation,,yes,"If I can, I want to get better grades in this course than most of the other students",QuizblockSection3
14,CTh3,I treat the course material as a starting point and try to develop my own ideas about it,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Critical thinking,,yes,I treat the course material as a starting point and try to develop my own ideas about it,QuizblockSection3
15,SE4,I'm confident I can understand the most complex material presented by the instructor in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I'm confident I can understand the most complex material presented by the instructor in this course,QuizblockSection3
16,IGO2,"In a course like this, I prefer course material that arouses my curiosity, even if it is difficult to learn",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic goal orientation,,yes,"In a course like this, I prefer course material that arouses my curiosity, even if it is difficult to learn",QuizblockSection3
17,TV3,I am very interested in the content area of this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,I am very interested in the content area of this course,QuizblockSection3
18,EC3,"If I try hard enough, then I will understand the course material",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Expectancy control,,yes,"If I try hard enough, then I will understand the course material",QuizblockSection3
19,CTh4,I try to play around with ideas of my own related to what I'm learning in the course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Critical thinking,,yes,I try to play around with ideas of my own related to what I'm learning in the course,QuizblockSection3
20,SE5,I'm confident I can do an excellent job on the assignments and tests in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I'm confident I can do an excellent job on the assignments and tests in this course,QuizblockSection3
21,SE6,I expect to do well in this course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I expect to do well in this course,QuizblockSection3
22,IGO3,The most satisfying thing for me in this course is trying to understand the content as thoroughly as possible,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic goal orientation,,yes,The most satisfying thing for me in this course is trying to understand the content as thoroughly as possible,QuizblockSection3
23,TV4,I think the material in this course is useful for me to learn,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,I think the material in this course is useful for me to learn,QuizblockSection3
24,IGO4,"When I have the opportunity in this course, I choose course assignments that I can learn from even if they don't guarantee a good grade",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic goal orientation,,yes,"When I have the opportunity in this course, I choose course assignments that I can learn from even if they don't guarantee a good grade",QuizblockSection3
25,EC4,"If I don't understand the course material, it is because I didn't try hard enough",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Expectancy control,,yes,"If I don't understand the course material, it is because I didn't try hard enough",QuizblockSection3
26,TV5,I like the subject matter of the course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,I like the subject matter of the course,QuizblockSection3
27,TV6,Understanding the subject matter of the course is very important to me,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Task value,,yes,Understanding the subject matter of the course is very important to me,QuizblockSection3
28,SE7,I'm certain I can master the skills being taught in my course,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,I'm certain I can master the skills being taught in my course,QuizblockSection3
29,EGO4,"I want to do well in this course because it is important to show my ability to my family, friends, employer, or others",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Extrinsic goal orientation,,yes,"I want to do well in this course because it is important to show my ability to my family, friends, employer, or others",QuizblockSection3
30,SE8,"Considering the difficulty of this course, the teacher, and my skills, I think I will do well in the class",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self-efficacy,,yes,"Considering the difficulty of this course, the teacher, and my skills, I think I will do well in the class",QuizblockSection3
1,LS_S1,I like to be told precisely what to do in essays or other assignments.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Surface approach to learning,,yes,I like to be told precisely what to do in essays or other assignments.,QuizblockSection4
2,AB1,I don't let study stress get on top of me.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Academic bouyancy,,yes,I don't let study stress get on top of me.,QuizblockSection4
3,LS_D1,I usually set out to understand for myself the meaning of what we have to learn,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Deep approach to learning,,yes,I usually set out to understand for myself the meaning of what we have to learn,QuizblockSection4
4,LOC1,I have a great deal of control over my academic performance.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,,yes,I have a great deal of control over my academic performance.,QuizblockSection4
5,LOC2,"The more effort I put into my courses, the better I do in them.",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,,yes,"The more effort I put into my courses, the better I do in them.",QuizblockSection4
6,LS_st1,I think I'm quite systematic and organised when it comes to preparing for exams.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Strategic approach to learning,,yes,I think I'm quite systematic and organised when it comes to preparing for exams.,QuizblockSection4
7,LOC3,"No matter what I do, I can't seem to do well in my courses.",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,negative,yes,"No matter what I do, I can't seem to do well in my courses.",QuizblockSection4
8,LS_S2,I find I have to concentrate on just memorising a good deal of what I have to learn.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Surface approach to learning,,yes,I find I have to concentrate on just memorising a good deal of what I have to learn.,QuizblockSection4
9,LOC4,I see myself as largely responsible for my performance throughout my college career.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,,yes,I see myself as largely responsible for my performance throughout my college career.,QuizblockSection4
10,LS_st2,I'm pretty good at getting down to work whenever I need to.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Strategic approach to learning,,yes,I'm pretty good at getting down to work whenever I need to.,QuizblockSection4
11,AB2,I think I'm good at dealing with schoolwork pressures,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Academic bouyancy,,yes,I think I'm good at dealing with schoolwork pressures,QuizblockSection4
12,LS_D2,"Before tackling a problem or assignment, I first try to work out what lies behind it. ",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Deep approach to learning,,yes,"Before tackling a problem or assignment, I first try to work out what lies behind it. ",QuizblockSection4
13,LOC5,How well I do in my courses is often the luck of the draw.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,negative,yes,How well I do in my courses is often the luck of the draw.,QuizblockSection4
14,LS_st3,"I usually plan out my week's work in advance, either on paper or in my head",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Strategic approach to learning,,yes,"I usually plan out my week's work in advance, either on paper or in my head",QuizblockSection4
15,LOC6,There is little I can do about my performance in university. ,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,negative,yes,There is little I can do about my performance in university. ,QuizblockSection4
16,LS_D3,Often I find myself questioning things I hear in lectures or read in books.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Deep approach to learning,,yes,Often I find myself questioning things I hear in lectures or read in books.,QuizblockSection4
17,AB3,I don't let a bad mark affect my confidence.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Academic bouyancy,,yes,I don't let a bad mark affect my confidence.,QuizblockSection4
18,LS_S3,"I'm not really sure what's important in lectures, so I try to get down all I can",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Surface approach to learning,,yes,"I'm not really sure what's important in lectures, so I try to get down all I can",QuizblockSection4
19,LOC7,"When I do poorly in a course, it's usually because I haven't given it my best effort.",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,,yes,"When I do poorly in a course, it's usually because I haven't given it my best effort.",QuizblockSection4
20,LS_D4,I look at the evidence carefully and try to reach my own conclusion about what I'm studying.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Deep approach to learning,,yes,I look at the evidence carefully and try to reach my own conclusion about what I'm studying.,QuizblockSection4
21,LOC8,My grades are basically determined by things beyond my control and there is little I can do to change that. ,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Perceived Academic Control,negative,yes,My grades are basically determined by things beyond my control and there is little I can do to change that. ,QuizblockSection4
22,LS_st4,I organise my study time carefully to make the best use of it.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Strategic approach to learning,,yes,I organise my study time carefully to make the best use of it.,QuizblockSection4
23,AB4,"I'm good at dealing with setbacks (e.g., bad  grade, negative feedback on my work).",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Academic bouyancy,,yes,"I'm good at dealing with setbacks (e.g., bad  grade, negative feedback on my work).",QuizblockSection4
24,LS_S4,I concentrate on learning just those bits of information I have to know to pass.,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Surface approach to learning,,yes,I concentrate on learning just those bits of information I have to know to pass.,QuizblockSection4
