Order,ID,ItemID,Question,Correct Answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Image,Categories,Category
25,25,Cyto-25-Pre,"A healthy man carries a balanced reciprocal translocation which is described bt : 46,XY,t(1;18)(p22;q23). What does this karyotype mean for his chances of getting normal and healthy children?","He can have healthy children, if he passes on the normal chromosomes 1 and 18, or if he passes on the two derivative chromosomes so that the child becomes a carrier of the same balanced translocation","He can not have healthy children, as he will always pass on one or both of the two derivative chromosome. The child becomes a carrier of an unbalanced translocation","In very rare cases, he can have healthy children, but only if he passes on the normal chromosomes 1 and 18",He will only have healthy children because his translocation is balanced,"He can have healthy children, if he passes on the normal chromosomes 1 and 18, or if he passes on the two derivative chromosomes so that the child becomes a carrier of the same balanced translocation",,,From Anne,Cyto-Pre-Test
26,26,Cyto-26-Pre,Which one of the following karyotypes would you NOT expect to find in a patient with Down's syndrome?,"45,XX,der(21;21)(q10;q10)","46,XY,der(14;21)(q10;q10),+21","46,XX,der(21;21)(q10;q10)","45,XX,der(21;21)(q10;q10)","47,XX,+21",,,From Anne,Cyto-Pre-Test
27,27,Cyto-27-Pre,"In general, is it a problem if a person has anything other than two copies of a chromosome, or of certain parts of it?","It is a problem, because an incorrect number of chromosomes (or parts of them) can cause disease. Also, it can be a sign of an underlying chromosomal rearrangement.",The main problem is the structure of our chromosomes; the loss or an extra copy cannot cause diseases.,"It is a problem, because an incorrect number of chromosomes (or parts of them) can cause disease.  Also, it can be a sign of an underlying chromosomal rearrangement.","The only problem is that if parts of a chromosome are missing or present in extra copies, it could be a sign of an underlying chromosomal rearrangement.","No, unless it involves more than one whole chromosome, it does not matter.",,,Cytogenetics lab,Cyto-Pre-Test
28,28,Cyto-28-Pre,"If an infertile man has one Barr body in his cell nuclei, which of the following is most likely to be his karyotype?","47,XXY","45,X","47,XXY","46,XY","45,XY,der(22;22)(q10;q10)",,,From Anne,Cyto-Pre-Test
29,29,Cyto-29-Pre,Why do we add colcemid (or colchicine) to the cells when preapring the chromosones for karyotyping?,To stop the cell division during metaphase-- where the chromosomes are most condensed,To stop cell division and reduce the number of cells in the final sample,To stimulate the cells to divide,To stop cell division during metaphase--where the chromosomes are most condensed,To label the chromosomes for visualization,,,From Anne,Cyto-Pre-Test
30,30,Cyto-30-Pre,What chromosomal rearrangement must have taken place that changed the chromosome on the left into the derivative chromosome on the right?,Pericentric inversion,Paracentric inversion,Pericentric inversion,Reciprocal translocation,Duplication,,https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_30.jpg,From Anne,Cyto-Pre-Test
31,31,Cyto-31-Pre,What does it mean that a chromosome rearrangement is balanced?,There is no loss or gain of chromosome material.,There are equal amounts of maternal and paternal chromosomes.,There is not chromosomal abnormality.,The translocation is inherited.,There is no loss or gain of chromosome material.,,,Cytogenetics lab,Cyto-Pre-Test
32,32,Cyto-32-Pre,The person with the above karyotype does not have symptoms of genetic disease. What are the risk her children face due to the translocation he carries? ,There the risk that his children will have Down's sydrome.  The person at glance also has the possiibilty of miscarriage and reduced chance of having normal children. ,She can not have children,There is no risk of chromosome abnormalities for her children due to her translocation,All of her children will have Down's syndrome,There is a risk for to have children with Down's syndrome or miscarriages as well as possibility to have normal children,,https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_32.jpg,From Anne,Cyto-Pre-Test
33,33,Cyto-33-Pre,"A child is born with the karyotype 47,XXX. This can be caused by non-disjunction.Can we determine who this comes from and which meiotic division? ","It can be in the mother and in her first or second meiotic division, or in the second meiotic division in the father",It has to be in the mother and in her first or second meiotic division,"It can be in the mother, in her first or second meiotic division, or in the second meiotic division in the father","It can only be in the father, in his first meiotic division","It can only be in the second meiotic division, in either the mother or the father",,,From Anne,Cyto-Pre-Test
34,34,Cyto-34-Pre,"A phenotypically normal boy has 45 chromosomes. His sister, who has Down's syndrome, has 46 chromosomes. Why?","Both children have a Robertsonian translocation involving chromosome 21. His is balanced, while hers is unbalanced with an extra chromosome 21",The sister has a balanced Robertsonian translocation involving chromosome 21,"The boy only has one sex chromosome, while his sister has two",The boy has an unbalanced Robertsonian translocation involving chromosome 21,"Both children have a Robertsonian translocation involving chromosome 21. His is balanced, while hers is unbalanced with an extra chromosome 21",,,From Anne,Cyto-Pre-Test
35,35,Cyto-35-Pre,Does a balanced reciprocal translocation cause disease?,The person rarely suffers from a disease.,"No, the person will not develop a disease.",The person rarely suffers from a disease.,"Yes, the person will definitely suffer from a disease.","Yes, however the person will develop symptoms later in life.",,,Cytogenetics lab,Cyto-Pre-Test
36,36,Cyto-36-Pre,"For two years, a young couple has been trying to have children without success.  The wife experienced several miscarriages. Their karyotypes are 46,XX and 45,XY,der(22;22)(q10;q10). What different phenotypes can we expect in their future children?","We expect that the couple is infertile, and that they are experiencing numerous miscarriages due to abnormal karyotypes","We expect their children to have the same balanced translocation as the father, and hence be normal",We expect that they will have children with the same balanced translocation as the father and normal phenotype; all other possible karyotypes will lead to miscarriage,"We expect that the couple is infertile, and that they are experiencing numerous miscarriages due to abnormal karyotypes","We expect a high risk of children with Down's syndrome, and a high frequency of micarriages",,,From Anne,Cyto-Pre-Test
37,37,Cyto-37-Pre,Array CGH analysis of a young child with developmental abnormalities reveals that the short arm of chromosome 4 was present in only one copy. What does this mean?,The child most likely suffers from Wolf-Hirschhorn syndrome due to a deletion on 4p,The child most likely suffers from Wolf-Hirschhorn syndrome due to a deletion on 4p,The child suffers from Turner syndrome due to a deletion on 4q,The child most likely suffers from Cri du Chat syndrome,The child has Edward's syndrome due to a duplication on 4p,,,From Anne,Cyto-Pre-Test
38,38,Cyto-38-Pre,Will the wrong number of chromosomes always lead to severe malformations?,"Abnormalities in the number of sex chromosomes may lead to a phenotype, but it does not necessarily result in severe malformations.","Yes, only individuals with 46 chromosomes can be normal.","No, most numeric chromosomal abnormalities do not result in severe malformations.",Almost all chromosomal abnormalities lead to a miscarriage.,"Abnormalities in the number of sex chromosomes may lead to a phenotype, but it does not necessarily result in severe malformations.",,,Cytogenetics lab,Cyto-Pre-Test
39,39,Cyto-39-Pre,The chromosome constitution or display of a person is called ____.,Karyotype.,Karyotype.,Cytogenetics.,Autosome.,Karyosystematics.,,,Cytogenetics lab,Cyto-Pre-Test
40,40,Cyto-40-Pre,"A person with the karyotype 46,XX,der(18)t(12;18)(p13;q12) carries 46 chromosomes. Part of the short arm of chromosome 12 has replaced a part of the long arm of chromosome 18 in one of the chromosome 18 pair (the derivative chromosome 18) due to a translocation inherited from her father. What does this mean?",She has three copies of the short arm of chromosome 12,She has only one copy of the short arm of chromosome 18,She has three copies of the long arm of chromosome 18,She has three copies of the short arm of chromosome 12,She has only one copy of the long arm of chromosome 12,,,From Anne,Cyto-Pre-Test
